  M  k  d          p_F            c_F  sign
  3  1  2   0.33333333   1.000000e+00  +
  3  1  3   0.77777778   1.428571e-01  +
  3  1  4   1.00000000   0.000000e+00  0
  3  2  2   0.33333333   1.000000e+00  +
  3  2  3   1.00000000   0.000000e+00  0
  3  2  4   1.00000000   0.000000e+00  0
  4  1  2   0.25000000   1.000000e+00  +
  4  1  3   0.62500000   2.000000e-01  +
  4  1  4   0.90625000   3.448276e-02  +
  4  1  5   1.00000000   0.000000e+00  0
  4  2  2   0.16666667   1.000000e+00  +
  4  2  3   0.55555556   2.000000e-01  +
  4  2  4   1.00000000   0.000000e+00  0
  4  2  5   1.00000000   0.000000e+00  0
  4  3  2   0.25000000   1.000000e+00  +
  4  3  3   1.00000000   0.000000e+00  0
  4  3  4   1.00000000   0.000000e+00  0
  4  3  5   1.00000000   0.000000e+00  0
  5  1  2   0.20000000   1.000000e+00  +
  5  1  3   0.52000000   2.307692e-01  +
  5  1  4   0.80800000   5.940594e-02  +
  5  1  5   0.96160000   9.983361e-03  +
  5  1  6   1.00000000   0.000000e+00  0
  5  2  2   0.10000000   1.000000e+00  +
  5  2  3   0.34000000   2.647059e-01  +
  5  2  4   0.70000000   7.142857e-02  +
  5  2  5   1.00000000   0.000000e+00  0
  5  2  6   1.00000000   0.000000e+00  0
  5  3  2   0.10000000   1.000000e+00  +
  5  3  3   0.40000000   2.500000e-01  +
  5  3  4   1.00000000   0.000000e+00  0
  5  3  5   1.00000000   0.000000e+00  0
  5  3  6   1.00000000   0.000000e+00  0
  5  4  2   0.20000000   1.000000e+00  +
  5  4  3   1.00000000   0.000000e+00  0
  5  4  4   1.00000000   0.000000e+00  0
  5  4  5   1.00000000   0.000000e+00  0
  5  4  6   1.00000000   0.000000e+00  0
  6  1  2   0.16666667   1.000000e+00  +
  6  1  3   0.44444444   2.500000e-01  +
  6  1  4   0.72222222   7.692308e-02  +
  6  1  5   0.90740741   2.040816e-02  +
  6  1  6   0.98456790   3.134796e-03  +
  6  1  7   1.00000000   0.000000e+00  0
  6  2  2   0.06666667   1.000000e+00  +
  6  2  3   0.22666667   2.941176e-01  +
  6  2  4   0.48800000   1.092896e-01  +
  6  2  5   0.79520000   3.219316e-02  +
  6  2  6   1.00000000   0.000000e+00  0
  6  2  7   1.00000000   0.000000e+00  0
  6  3  2   0.05000000   1.000000e+00  +
  6  3  3   0.19000000   3.157895e-01  +
  6  3  4   0.50725000   1.020207e-01  +
  6  3  5   1.00000000   0.000000e+00  0
  6  3  6   1.00000000   0.000000e+00  0
  6  3  7   1.00000000   0.000000e+00  0
  6  4  2   0.06666667   1.000000e+00  +
  6  4  3   0.32444444   2.191781e-01  +
  6  4  4   1.00000000   0.000000e+00  0
  6  4  5   1.00000000   0.000000e+00  0
  6  4  6   1.00000000   0.000000e+00  0
  6  4  7   1.00000000   0.000000e+00  0
  6  5  2   0.16666667   1.000000e+00  +
  6  5  3   1.00000000   0.000000e+00  0
  6  5  4   1.00000000   0.000000e+00  0
  6  5  5   1.00000000   0.000000e+00  0
  6  5  6   1.00000000   0.000000e+00  0
  6  5  7   1.00000000   0.000000e+00  0
  7  1  2   0.14285714   1.000000e+00  +
  7  1  3   0.38775510   2.631579e-01  +
  7  1  4   0.65014577   8.968610e-02  +
  7  1  5   0.85006247   2.939735e-02  +
  7  1  6   0.95716071   7.459439e-03  +
  7  1  7   0.99388010   1.026264e-03  +
  7  1  8   1.00000000   0.000000e+00  0
  7  2  2   0.04761905   1.000000e+00  +
  7  2  3   0.16099773   3.098592e-01  +
  7  2  4   0.35212180   1.306348e-01  +
  7  2  5   0.60695389   5.479452e-02  +
  7  2  6   0.85890653   1.642710e-02  +
  7  2  7   1.00000000   0.000000e+00  0
  7  3  2   0.02857143   1.000000e+00  +
  7  3  3   0.10367347   3.385827e-01  +
  7  3  4   0.26950437   1.464301e-01  +
  7  3  5   0.59452095   4.969327e-02  +
  7  4  2   0.02857143   1.000000e+00  +
  7  4  3   0.12816327   2.866242e-01  +
  7  4  4   0.44974927   5.943059e-02  +
  7  4  5   1.00000000   0.000000e+00  0
  7  5  2   0.04761905   1.000000e+00  +
  7  5  3   0.29705215   1.450382e-01  +
  7  5  4   1.00000000   0.000000e+00  0
  7  5  5   1.00000000   0.000000e+00  0
  7  5  6   1.00000000   0.000000e+00  0
  7  5  7   1.00000000   0.000000e+00  0
  7  6  2   0.14285714   1.000000e+00  +
  7  6  3   1.00000000   0.000000e+00  0
  7  6  4   1.00000000   0.000000e+00  0
  7  6  5   1.00000000   0.000000e+00  0
  7  6  6   1.00000000   0.000000e+00  0
  7  6  7   1.00000000   0.000000e+00  0
  7  6  8   1.00000000   0.000000e+00  0
  8  1  2   0.12500000   1.000000e+00  +
  8  1  3   0.34375000   2.727273e-01  +
  8  1  4   0.58984375   9.933775e-02  +
  8  1  5   0.79492188   3.685504e-02  +
  8  1  6   0.92309570   1.190161e-02  +
  8  1  7   0.98077393   2.800423e-03  +
  8  1  8   0.99759674   3.441498e-04  +
  8  1  9   1.00000000   0.000000e+00  0
  8  2  2   0.03571429   1.000000e+00  +
  8  2  3   0.11989796   3.191489e-01  +
  8  2  4   0.26339286   1.435489e-01  +
  8  2  5   0.46584756   6.956862e-02  +
  8  2  6   0.70012495   3.059403e-02  +
  8  3  2   0.01785714   1.000000e+00  +
  8  3  3   0.06250000   3.469388e-01  +
  8  3  4   0.15611334   1.666180e-01  +
  8  4  2   0.01428571   1.000000e+00  +
  8  4  3   0.05959184   3.150685e-01  +
  8  4  4   0.20009329   1.105024e-01  +
  8  5  2   0.01785714   1.000000e+00  +
  8  5  3   0.10076531   2.405063e-01  +
  8  5  4   0.47231460   7.161286e-03  +
  8  6  2   0.03571429   1.000000e+00  +
  8  6  3   0.29591837   6.896552e-02  +
  8  6  4   1.00000000   0.000000e+00  0
  8  6  5   1.00000000   0.000000e+00  0
  8  6  6   1.00000000   0.000000e+00  0
  8  7  2   0.12500000   1.000000e+00  +
  8  7  3   1.00000000   0.000000e+00  0
  8  7  4   1.00000000   0.000000e+00  0
  8  7  5   1.00000000   0.000000e+00  0
  8  7  6   1.00000000   0.000000e+00  0
  8  7  7   1.00000000   0.000000e+00  0
  8  7  8   1.00000000   0.000000e+00  0
  8  7  9   1.00000000   0.000000e+00  0
  9  1  2   0.11111111   1.000000e+00  +
  9  1  3   0.30864198   2.800000e-01  +
  9  1  4   0.53909465   1.068702e-01  +
  9  1  5   0.74394147   4.302397e-02  +
  9  1  6   0.88619621   1.605228e-02  +
  9  1  7   0.96206540   4.928796e-03  +
  9  1  8   0.99157009   1.062697e-03  +
  9  1  9   0.99906334   1.171919e-04  +
  9  1 10   1.00000000   0.000000e+00  0
  9  2  2   0.02777778   1.000000e+00  +
  9  2  3   0.09259259   3.250000e-01  +
  9  2  4   0.20331790   1.518027e-01  +
  9  2  5   0.36385460   7.937677e-02  +
  9  3  2   0.01190476   1.000000e+00  +
  9  3  3   0.04053288   3.496503e-01  +
  9  4  2   0.00793651   1.000000e+00  +
  9  4  3   0.03124213   3.286290e-01  +
  9  5  2   0.00793651   1.000000e+00  +
  9  5  3   0.04006047   2.924528e-01  +
  9  6  2   0.01190476   1.000000e+00  +
  9  6  3   0.08928571   1.857143e-01  +
  9  7  2   0.02777778   1.000000e+00  +
  9  7  3   0.30864198   1.000000e-02  +
  9  7  4   1.00000000   0.000000e+00  0
  9  7  5   1.00000000   0.000000e+00  0
  9  8  2   0.11111111   1.000000e+00  +
  9  8  3   1.00000000   0.000000e+00  0
  9  8  4   1.00000000   0.000000e+00  0
  9  8  5   1.00000000   0.000000e+00  0
  9  8  6   1.00000000   0.000000e+00  0
  9  8  7   1.00000000   0.000000e+00  0
  9  8  8   1.00000000   0.000000e+00  0
  9  8  9   1.00000000   0.000000e+00  0
  9  8 10   1.00000000   0.000000e+00  0
 10  1  2   0.10000000   1.000000e+00  +
 10  1  3   0.28000000   2.857143e-01  +
 10  1  4   0.49600000   1.129032e-01  +
 10  1  5   0.69760000   4.816514e-02  +
 10  1  6   0.84880000   1.979265e-02  +
 10  1  7   0.93952000   7.152589e-03  +
 10  1  8   0.98185600   2.053254e-03  +
 10  1  9   0.99637120   4.046685e-04  +
 10  1 10   0.99963712   4.033464e-05  +
 10  1 11   1.00000000   0.000000e+00  0
 10  2  2   0.02222222   1.000000e+00  +
 10  2  3   0.07358025   3.288591e-01  +
 10  2  4   0.16115226   1.573034e-01  +
 10  3  2   0.00833333   1.000000e+00  +
 10  3  3   0.02777778   3.500000e-01  +
 10  4  2   0.00476190   1.000000e+00  +
 10  5  2   0.00396825   1.000000e+00  +
 10  6  2   0.00476190   1.000000e+00  +
 10  7  2   0.00833333   1.000000e+00  +
 10  7  3   0.08708333   1.228070e-01  +
 10  8  2   0.02222222   1.000000e+00  +
