sign_mode,m,trials,p_f,n_fail,mean_ratio_failed,mean_ratio_all,std_failed,mc_se_failed,theoretical_bound,abs_bias_failed,within_bound,sufficient_sample
balanced,1024,20000,1,20000,0.9996876812,0.9996876812,0.05534293036,0.0003913336135,NaN,0.0003123187638,false,true
balanced,1050,20000,1,20000,0.9999829503,0.9999829503,0.05445160598,0.0003850309983,NaN,1.704968964e-05,false,true
balanced,1075,20000,1,20000,1.000456258,1.000456258,0.05426388058,0.0003837035793,NaN,0.000456257802,false,true
balanced,1100,20000,0.97175,19435,1.00014937,1.000027738,0.05423992464,0.0003890691579,0.005616501628,0.0001493698966,true,true
balanced,1125,20000,0.59775,11955,1.003305638,1.00047451,0.0549951538,0.0005029787424,0.02702827668,0.003305637952,true,true
balanced,1150,20000,0.19585,3917,1.01230185,1.000121317,0.05740588311,0.0009172328844,0.06677729351,0.01230184997,true,true
balanced,1175,20000,0.05795,1159,1.017531664,0.9996670551,0.05890811696,0.001730347869,0.1328985694,0.01753166438,true,true
balanced,1200,20000,0.0296,592,1.007378982,1.000216484,0.05510152553,0.002264658749,0.1887660358,0.007378981954,true,true
balanced,1250,20000,0.02205,441,0.9974314853,0.9994448297,0.05244188838,0.00249723278,0.2196375767,0.002568514711,true,true
balanced,1300,20000,0.0174,348,0.9971031744,1.000303824,0.05036890566,0.002700056756,0.2479204467,0.002896825576,true,false
iid,1024,20000,1,20000,0.9998404222,0.9998404222,0.05482974531,0.0003877048472,NaN,0.000159577766,false,true
iid,1050,20000,1,20000,0.9998825193,0.9998825193,0.05465840407,0.0003864932817,NaN,0.0001174807197,false,true
iid,1075,20000,1,20000,0.9997459864,0.9997459864,0.05408353174,0.0003824283204,NaN,0.0002540135957,false,true
iid,1100,20000,0.9708,19416,1.000324044,1.000293906,0.05394925999,0.0003871734874,0.005712950743,0.0003240435172,true,true
iid,1125,20000,0.6035,12070,1.003265463,1.000467695,0.05558877013,0.000505980093,0.02670626049,0.003265463315,true,true
iid,1150,20000,0.1919,3838,1.01264994,1.000606963,0.05711898874,0.0009219938511,0.06762653469,0.01264993999,true,true
iid,1175,20000,0.06175,1235,1.01804618,1.000155678,0.05696118878,0.001620860227,0.1284845343,0.01804617956,true,true
iid,1200,20000,0.0272,544,1.011512805,1.000442628,0.05734903576,0.002458819623,0.1971612877,0.01151280505,true,true
iid,1250,20000,0.0203,406,0.9998780098,0.9999803625,0.05262077057,0.002611524994,0.229113748,0.0001219901632,true,true
iid,1300,20000,0.0178,356,0.992747914,1.000154717,0.05318199965,0.002818640344,0.2450690988,0.007252085959,true,false
plus1,1024,20000,1,20000,0.9995849257,0.9995849257,0.05481435755,0.0003875960393,NaN,0.0004150743323,false,true
plus1,1050,20000,1,20000,0.9999095778,0.9999095778,0.05474832429,0.0003871291136,NaN,9.042222957e-05,false,true
plus1,1075,20000,1,20000,1.000137798,1.000137798,0.05427318666,0.0003837693832,NaN,0.0001377976994,false,true
plus1,1100,20000,0.9708,19416,1.000117732,1.000020448,0.05376327983,0.0003858387779,0.005712950743,0.0001177317366,true,true
plus1,1125,20000,0.6035,12070,1.003574412,1.00086614,0.05426359115,0.0004939180492,0.02670626049,0.003574411965,true,true
plus1,1150,20000,0.1919,3838,1.009312298,0.9999927052,0.05470492131,0.0008830268564,0.06762653469,0.009312297537,true,true
plus1,1175,20000,0.06175,1235,1.012854444,1.000161425,0.05318594454,0.001513433691,0.1284845343,0.01285444352,true,true
plus1,1200,20000,0.0272,544,1.00686801,1.00039779,0.05176248435,0.002219298207,0.1971612877,0.006868009567,true,true
plus1,1250,20000,0.0203,406,0.9970625148,0.9999053682,0.05111800202,0.002536943843,0.229113748,0.002937485194,true,true
plus1,1300,20000,0.0178,356,0.9925642329,0.9996328649,0.0516942377,0.002739789118,0.2450690988,0.007435767116,true,false
