method,network,workers,build_a_s,build_b_s,partition_a_s,partition_b_s,rebucket_a_s,rebucket_b_s,resolve_a_s,resolve_b_s,resolve_wall_s,recheck_http_a_s,recheck_http_b_s,recheck_http_wall_s,recheck_db_a_s,recheck_db_b_s,boundary_s,checksum_s,refine_s,drill_s,recheck_s,e2e_s
IBLT,22.5ms/100Mbps,16,760.0,510.4,0.46,1.58,15.2,16.7,13.3,13.2,14.2,4.9,9.5,10.0,0.1,0.4,,,,,,793.7
IBLT,22.5ms/100Mbps,32,417.1,595.5,0.45,1.00,21.9,23.0,15.0,14.6,15.6,5.5,29.8,10.1,0.1,1.3,,,,,,636.6
IBLT,22.5ms/10Mbps,16,752.0,499.8,0.46,0.93,15.8,24.3,13.1,17.9,17.9,3.4,185.4,13.9,0.1,1.5,,,,,,796.3
IBLT,22.5ms/10Mbps,32,411.7,607.1,0.45,0.97,19.1,31.5,14.9,17.3,17.3,4.9,105.1,11.9,0.1,0.2,,,,,,657.4
IBLT,100ms/10Mbps,16,752.4,508.0,0.43,0.91,16.1,30.1,13.0,15.8,15.8,3.6,113.2,11.9,0.1,0.2,,,,,,800.1
IBLT,100ms/10Mbps,32,410.8,600.2,0.43,0.97,21.7,33.8,14.9,18.7,18.7,4.4,97.8,13.3,0.1,0.3,,,,,,654.4
Merkle,22.5ms/100Mbps,16,,,,,,,,,,,,,,,18.1,1031.2,4.3,43.0,1.9,1094.2
Merkle,22.5ms/100Mbps,32,,,,,,,,,,,,,,,17.2,593.5,4.3,39.6,2.0,652.4
Merkle,22.5ms/10Mbps,16,,,,,,,,,,,,,,,17.2,1026.1,4.9,389.0,2.6,1434.9
Merkle,22.5ms/10Mbps,32,,,,,,,,,,,,,,,14.1,614.2,4.3,389.2,2.7,1020.3
Merkle,100ms/10Mbps,16,,,,,,,,,,,,,,,16.4,1029.6,6.2,389.2,2.7,1437.9
Merkle,100ms/10Mbps,32,,,,,,,,,,,,,,,16.4,602.6,4.4,389.5,2.7,1011.2
