network,method,workers,median_ms,min_ms,max_ms
Direct,IBLT,8,78985,78484,80041
Direct,IBLT,16,47738,47699,47946
Direct,IBLT,32,49122,49043,51839
Direct,IBLT,64,66067,65885,75070
Direct,Merkle,8,100541,100521,100747
Direct,Merkle,16,62004,57913,63073
Direct,Merkle,32,51317,51195,52139
Direct,Merkle,64,49489,49145,49957
22.5 ms / 100 Mbps,IBLT,8,78756,78371,79019
22.5 ms / 100 Mbps,IBLT,16,47523,47137,48649
22.5 ms / 100 Mbps,IBLT,32,53130,52007,56663
22.5 ms / 100 Mbps,IBLT,64,65423,64252,69052
22.5 ms / 100 Mbps,Merkle,8,102854,102740,104645
22.5 ms / 100 Mbps,Merkle,16,61470,61423,61563
22.5 ms / 100 Mbps,Merkle,32,55506,55308,55629
22.5 ms / 100 Mbps,Merkle,64,53827,53729,53989
100 ms / 100 Mbps,IBLT,8,78881,78587,79753
100 ms / 100 Mbps,IBLT,16,48036,47884,50223
100 ms / 100 Mbps,IBLT,32,52798,50966,54067
100 ms / 100 Mbps,IBLT,64,68742,62902,68776
100 ms / 100 Mbps,Merkle,8,102383,102081,106017
100 ms / 100 Mbps,Merkle,16,61686,61376,65645
100 ms / 100 Mbps,Merkle,32,53767,53721,54966
100 ms / 100 Mbps,Merkle,64,52450,52230,52497
