scope,gamma,M,trials,success,success_rate
all,1.6,,1440000,1437904,0.998544
all,1.8,,1440000,1439373,0.999565
all,2,,1440000,1439529,0.999673
by_M,1.6,256,360000,358295,0.995264
by_M,1.6,512,360000,359750,0.999306
by_M,1.6,1024,360000,359889,0.999692
by_M,1.6,4096,360000,359970,0.999917
by_M,1.8,256,360000,359627,0.998964
by_M,1.8,512,360000,359835,0.999542
by_M,1.8,1024,360000,359923,0.999786
by_M,1.8,4096,360000,359988,0.999967
by_M,2,256,360000,359734,0.999261
by_M,2,512,360000,359869,0.999636
by_M,2,1024,360000,359945,0.999847
by_M,2,4096,360000,359981,0.999947
failed_only_all,1.6,,997927,995831,0.997900
failed_only_all,1.8,,997927,997300,0.999372
failed_only_all,2,,997927,997456,0.999528
failed_only_by_M,1.6,256,256586,254881,0.993355
failed_only_by_M,1.6,512,252739,252489,0.999011
failed_only_by_M,1.6,1024,247741,247630,0.999552
failed_only_by_M,1.6,4096,240861,240831,0.999875
failed_only_by_M,1.8,256,256586,256213,0.998546
failed_only_by_M,1.8,512,252739,252574,0.999347
failed_only_by_M,1.8,1024,247741,247664,0.999689
failed_only_by_M,1.8,4096,240861,240849,0.999950
failed_only_by_M,2,256,256586,256320,0.998963
failed_only_by_M,2,512,252739,252608,0.999482
failed_only_by_M,2,1024,247741,247686,0.999778
failed_only_by_M,2,4096,240861,240842,0.999921
