kind,M,k,d,neg_ratio,trials,mean_ratio,rsd_emp,rsd_theory,rsd_emp_over_theory,q05_emp,q05_chi2,q05_normal,q50_emp,q95_emp,q95_chi2,fail_rate,failed_n,failed_mean_ratio,failed_q05,lemma5_rel_bound,q01_emp,q01_chi2,failed_q01,failed_q05_oslcb95,failed_q01_oslcb95,q99_emp,q99_chi2
grid,512,3,205,0,1000000,1.000081,0.062445,0.062408,1.0006,0.9000,0.8994,0.8973,0.9982,1.1061,1.1051,0.00100,1000,1.011277,0.9066,1.97254,0.8641,0.8602,0.8673,0.9000,0.8444,1.1552,1.1513
grid,512,3,410,0,1000000,1.000017,0.062443,0.062485,0.9993,0.9005,0.8994,0.8972,0.9986,1.1049,1.1051,0.42153,421532,1.022217,0.9250,0.07320,0.8612,0.8602,0.8890,0.9250,0.8874,1.1524,1.1513
grid,512,3,819,0,1000000,0.999948,0.062592,0.062523,1.0011,0.9000,0.8994,0.8972,0.9982,1.1055,1.1051,1.00000,1000000,0.999948,0.9000,NaN,0.8607,0.8602,0.8607,0.8992,0.8607,1.1522,1.1513
grid,512,3,4096,0,1000000,0.999952,0.062516,0.062553,0.9994,0.8995,0.8994,0.8971,0.9987,1.1051,1.1051,1.00000,1000000,0.999952,0.8995,NaN,0.8603,0.8602,0.8603,0.8993,0.8600,1.1509,1.1513
grid,512,3,205,0.1,1000000,0.999932,0.062259,0.062408,0.9976,0.8995,0.8994,0.8973,0.9977,1.1056,1.1051,0.00100,995,1.008202,0.9116,1.97749,0.8603,0.8602,0.8766,0.9061,0.8603,1.1514,1.1513
grid,512,3,410,0.1,1000000,1.000062,0.062511,0.062485,1.0004,0.9003,0.8994,0.8972,0.9984,1.1047,1.1051,0.42195,421951,1.014364,0.9150,0.07314,0.8610,0.8602,0.8774,0.9150,0.8758,1.1522,1.1513
grid,512,3,819,0.1,1000000,0.999963,0.062555,0.062523,1.0005,0.8997,0.8994,0.8972,0.9987,1.1052,1.1051,1.00000,1000000,0.999963,0.8997,NaN,0.8604,0.8602,0.8604,0.8997,0.8604,1.1519,1.1513
grid,512,3,4096,0.1,1000000,0.999961,0.062537,0.062553,0.9997,0.8995,0.8994,0.8971,0.9986,1.1051,1.1051,1.00000,1000000,0.999961,0.8995,NaN,0.8604,0.8602,0.8604,0.8992,0.8601,1.1512,1.1513
grid,512,3,205,0.5,1000000,0.999950,0.062424,0.062408,1.0003,0.8979,0.8994,0.8973,0.9993,1.1040,1.1051,0.00098,980,0.999700,0.8979,1.99258,0.8619,0.8602,0.8664,0.8914,0.8423,1.1498,1.1513
grid,512,3,410,0.5,1000000,1.000030,0.062465,0.062485,0.9997,0.8996,0.8994,0.8972,0.9994,1.1040,1.1051,0.42216,422160,1.000001,0.8996,0.07310,0.8603,0.8602,0.8603,0.8996,0.8587,1.1515,1.1513
