M,k,d,load_d_over_M,neg_ratio,n_failed,q01_emp,alpha_beta_1p56
64,3,51,0.796875,-1,683202,0.630800,2.473050
64,3,51,0.796875,0,682418,0.680500,2.292432
64,3,51,0.796875,0.1,682342,0.662500,2.354717
64,3,51,0.796875,0.5,682517,0.636800,2.449749
64,3,51,0.796875,0.9,683534,0.662500,2.354717
64,3,102,1.593750,-1,1000000,0.634100,2.460180
64,3,102,1.593750,0,1000000,0.634100,2.460180
64,3,102,1.593750,0.1,1000000,0.639200,2.440551
64,3,102,1.593750,0.5,1000000,0.630900,2.472658
64,3,102,1.593750,0.9,1000000,0.632400,2.466793
64,3,512,8.000000,-1,1000000,0.632300,2.467183
64,3,512,8.000000,0,1000000,0.632500,2.466403
64,3,512,8.000000,0.1,1000000,0.634500,2.458629
64,3,512,8.000000,0.5,1000000,0.633900,2.460956
64,3,512,8.000000,0.9,1000000,0.633200,2.463677
256,3,205,0.800781,-1,543451,0.805000,1.937888
256,3,205,0.800781,0,542598,0.838400,1.860687
256,3,205,0.800781,0.1,543317,0.824200,1.892744
256,3,205,0.800781,0.5,542544,0.804500,1.939093
256,3,205,0.800781,0.9,542478,0.825700,1.889306
256,3,410,1.601562,-1,1000000,0.806000,1.935484
256,3,410,1.601562,0,1000000,0.806400,1.934524
256,3,410,1.601562,0.1,1000000,0.806000,1.935484
256,3,410,1.601562,0.5,1000000,0.806200,1.935004
256,3,410,1.601562,0.9,1000000,0.806000,1.935484
256,3,2048,8.000000,-1,1000000,0.806000,1.935484
256,3,2048,8.000000,0,1000000,0.805000,1.937888
256,3,2048,8.000000,0.1,1000000,0.805700,1.936205
256,3,2048,8.000000,0.5,1000000,0.805300,1.937166
256,3,2048,8.000000,0.9,1000000,0.805700,1.936205
512,3,410,0.800781,-1,421758,0.859800,1.814375
512,3,410,0.800781,0,421532,0.889000,1.754781
512,3,410,0.800781,0.1,421951,0.877400,1.777980
512,3,410,0.800781,0.5,422160,0.860300,1.813321
512,3,410,0.800781,0.9,422391,0.877400,1.777980
512,3,819,1.599609,-1,1000000,0.860400,1.813110
512,3,819,1.599609,0,1000000,0.860700,1.812478
512,3,819,1.599609,0.1,1000000,0.860400,1.813110
512,3,819,1.599609,0.5,1000000,0.860100,1.813743
512,3,819,1.599609,0.9,1000000,0.860400,1.813110
512,3,4096,8.000000,-1,1000000,0.860300,1.813321
512,3,4096,8.000000,0,1000000,0.860300,1.813321
512,3,4096,8.000000,0.1,1000000,0.860400,1.813110
512,3,4096,8.000000,0.5,1000000,0.860200,1.813532
512,3,4096,8.000000,0.9,1000000,0.860400,1.813110
1024,3,819,0.799805,-1,257079,0.899800,1.733719
1024,3,819,0.799805,0,256825,0.926500,1.683756
1024,3,819,0.799805,0.1,257573,0.915300,1.704359
1024,3,819,0.799805,0.5,255831,0.900100,1.733141
1024,3,819,0.799805,0.9,257549,0.915300,1.704359
1024,3,1638,1.599609,-1,1000000,0.899700,1.733911
1024,3,1638,1.599609,0,1000000,0.900200,1.732948
1024,3,1638,1.599609,0.1,1000000,0.900300,1.732756
1024,3,1638,1.599609,0.5,1000000,0.900100,1.733141
1024,3,1638,1.599609,0.9,1000000,0.900300,1.732756
1024,3,8192,8.000000,-1,1000000,0.899900,1.733526
1024,3,8192,8.000000,0,1000000,0.900100,1.733141
1024,3,8192,8.000000,0.1,1000000,0.900000,1.733333
1024,3,8192,8.000000,0.5,1000000,0.900000,1.733333
1024,3,8192,8.000000,0.9,1000000,0.900000,1.733333
4096,3,3277,0.800049,-1,28336,0.949000,1.643836
4096,3,3277,0.800049,0,28085,0.970200,1.607916
4096,3,3277,0.800049,0.1,28191,0.962000,1.621622
4096,3,3277,0.800049,0.5,27909,0.948200,1.645223
4096,3,3277,0.800049,0.9,28226,0.962700,1.620443
4096,3,6554,1.600098,-1,1000000,0.949300,1.643316
4096,3,6554,1.600098,0,1000000,0.949400,1.643143
4096,3,6554,1.600098,0.1,1000000,0.949400,1.643143
4096,3,6554,1.600098,0.5,1000000,0.949300,1.643316
4096,3,6554,1.600098,0.9,1000000,0.949200,1.643489
4096,3,32768,8.000000,-1,1000000,0.949200,1.643489
4096,3,32768,8.000000,0,1000000,0.949300,1.643316
4096,3,32768,8.000000,0.1,1000000,0.949400,1.643143
4096,3,32768,8.000000,0.5,1000000,0.949400,1.643143
4096,3,32768,8.000000,0.9,1000000,0.949400,1.643143
