kind,M,k,d,neg_ratio,trials,mean_ratio,rsd_emp,rsd_theory,rsd_emp_over_theory,q05_emp,q05_chi2,q05_normal,q50_emp,q95_emp,q95_chi2,fail_rate,failed_n,failed_mean_ratio,failed_q05,lemma5_rel_bound,q01_emp,q01_chi2,failed_q01,failed_q05_oslcb95,failed_q01_oslcb95
grid,4096,3,1638,0,1000000,0.999983,0.022131,0.022093,1.0017,0.9642,0.9639,0.9637,0.9996,1.0367,1.0366,0.00013,128,0.995139,0.9625,1.95264,0.9495,0.9493,0.9388,0.9349,0.9275
grid,4096,3,3277,0,1000000,0.999988,0.022119,0.022096,1.0010,0.9639,0.9639,0.9637,0.9997,1.0368,1.0366,0.02808,28085,1.019042,0.9843,0.12999,0.9496,0.9493,0.9702,0.9839,0.9688
grid,4096,3,6554,0,1000000,1.000003,0.022110,0.022098,1.0005,0.9640,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,1.000003,0.9640,NaN,0.9494,0.9493,0.9494,0.9639,0.9493
grid,4096,3,32768,0,1000000,1.000000,0.022128,0.022099,1.0013,0.9639,0.9639,0.9636,0.9998,1.0366,1.0366,1.00000,1000000,1.000000,0.9639,NaN,0.9493,0.9493,0.9493,0.9638,0.9491
grid,4096,3,1638,0.1,1000000,1.000012,0.022110,0.022093,1.0008,0.9639,0.9639,0.9637,0.9998,1.0368,1.0366,0.00011,112,1.003116,0.9715,2.08748,0.9493,0.9493,0.9629,0.9578,0.9578
grid,4096,3,3277,0.1,1000000,1.000021,0.022122,0.022096,1.0012,0.9638,0.9639,0.9637,0.9999,1.0367,1.0366,0.02819,28191,1.012097,0.9765,0.12973,0.9492,0.9493,0.9620,0.9759,0.9614
grid,4096,3,6554,0.1,1000000,1.000018,0.022097,0.022098,0.9999,0.9640,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,1.000018,0.9640,NaN,0.9494,0.9493,0.9494,0.9639,0.9493
grid,4096,3,32768,0.1,1000000,0.999996,0.022075,0.022099,0.9989,0.9639,0.9639,0.9636,0.9998,1.0365,1.0366,1.00000,1000000,0.999996,0.9639,NaN,0.9494,0.9493,0.9494,0.9639,0.9492
grid,4096,3,1638,0.5,1000000,1.000008,0.022066,0.022093,0.9988,0.9641,0.9639,0.9637,0.9999,1.0366,1.0366,0.00011,106,0.999769,0.9633,2.14575,0.9494,0.9493,0.9500,0.9437,0.9437
grid,4096,3,3277,0.5,1000000,0.999979,0.022090,0.022096,0.9997,0.9639,0.9639,0.9637,0.9997,1.0366,1.0366,0.02791,27909,1.000186,0.9637,0.13041,0.9492,0.9493,0.9482,0.9633,0.9474
grid,4096,3,6554,0.5,1000000,0.999998,0.022081,0.022098,0.9992,0.9639,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,0.999998,0.9639,NaN,0.9493,0.9493,0.9493,0.9639,0.9491
grid,4096,3,32768,0.5,1000000,0.999991,0.022078,0.022099,0.9990,0.9640,0.9639,0.9636,0.9998,1.0366,1.0366,1.00000,1000000,0.999991,0.9640,NaN,0.9494,0.9493,0.9494,0.9639,0.9493
grid,4096,3,1638,0.9,1000000,0.999983,0.022102,0.022093,1.0004,0.9639,0.9639,0.9637,0.9998,1.0364,1.0366,0.00011,112,1.001381,0.9677,2.08748,0.9497,0.9493,0.9505,0.9362,0.9362
grid,4096,3,3277,0.9,1000000,1.000026,0.022062,0.022096,0.9984,0.9640,0.9639,0.9637,0.9999,1.0367,1.0366,0.02823,28226,1.012069,0.9767,0.12965,0.9496,0.9493,0.9627,0.9763,0.9622
grid,4096,3,6554,0.9,1000000,1.000009,0.022112,0.022098,1.0006,0.9639,0.9639,0.9637,0.9998,1.0367,1.0366,1.00000,1000000,1.000009,0.9639,NaN,0.9492,0.9493,0.9492,0.9639,0.9491
grid,4096,3,32768,0.9,1000000,0.999995,0.022078,0.022099,0.9990,0.9639,0.9639,0.9636,0.9998,1.0366,1.0366,1.00000,1000000,0.999995,0.9639,NaN,0.9494,0.9493,0.9494,0.9639,0.9492
grid,4096,3,1638,-1,1000000,0.999991,0.022101,0.022093,1.0004,0.9640,0.9639,0.9637,0.9999,1.0366,1.0366,0.00012,120,0.998385,0.9582,2.01669,0.9493,0.9493,0.9469,0.9463,0.9456
grid,4096,3,3277,-1,1000000,0.999985,0.022092,0.022096,0.9998,0.9639,0.9639,0.9637,0.9998,1.0366,1.0366,0.02834,28336,0.999928,0.9637,0.12939,0.9493,0.9493,0.9490,0.9633,0.9482
grid,4096,3,6554,-1,1000000,0.999951,0.022075,0.022098,0.9989,0.9639,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,0.999951,0.9639,NaN,0.9493,0.9493,0.9493,0.9638,0.9492
grid,4096,3,32768,-1,1000000,1.000007,0.022126,0.022099,1.0012,0.9639,0.9639,0.9636,0.9999,1.0367,1.0366,1.00000,1000000,1.000007,0.9639,NaN,0.9492,0.9493,0.9492,0.9638,0.9491
grid,4096,4,1638,0,1000000,0.999992,0.022110,0.022093,1.0008,0.9639,0.9639,0.9637,0.9997,1.0366,1.0366,0.00000,1,0.993852,0.9939,22.09303,0.9495,0.9493,0.9939,0.9939,0.9939
grid,4096,4,3277,0,1000000,0.999990,0.022091,0.022096,0.9997,0.9640,0.9639,0.9637,0.9997,1.0367,1.0366,1.00000,1000000,0.999990,0.9640,NaN,0.9495,0.9493,0.9495,0.9640,0.9493
