pipeline,d,neg_ratio,trials,mean_bytes,p95_bytes,mean_rounds,max_rounds,mean_scans,rounds_histogram
blind_doubling,0,0,1000,2048,2048,1.000,1,1.000,1:1000 
blind_doubling,0,0.5,1000,2048,2048,1.000,1,1.000,1:1000 
blind_doubling,10,0,1000,2064,2048,1.004,2,1.004,1:996 2:4 
blind_doubling,10,0.5,1000,2052,2048,1.001,2,1.001,1:999 2:1 
blind_doubling,100,0,1000,9970,14336,2.465,4,2.465,2:537 3:461 4:2 
blind_doubling,100,0.5,1000,9912,14336,2.460,3,2.460,2:540 3:460 
blind_doubling,1000,0,1000,129155,129024,6.001,7,6.001,6:999 7:1 
blind_doubling,1000,0.5,1000,129024,129024,6.000,6,6.000,6:1000 
blind_doubling,10000,0,1000,1046528,1046528,9.000,9,9.000,9:1000 
blind_doubling,10000,0.5,1000,1046528,1046528,9.000,9,9.000,9:1000 
blind_doubling,100000,0,1000,8386560,8386560,12.000,12,12.000,12:1000 
blind_doubling,100000,0.5,1000,8386560,8386560,12.000,12,12.000,12:1000 
oracle,0,0,1000,2048,2048,1.000,1,1.000,1:1000 
oracle,0,0.5,1000,2048,2048,1.000,1,1.000,1:1000 
oracle,10,0,1000,2050,2048,1.000,1,1.000,1:1000 
oracle,10,0.5,1000,2050,2048,1.000,1,1.000,1:1000 
oracle,100,0,1000,5028,6144,1.000,1,1.000,1:1000 
oracle,100,0.5,1000,5118,6144,1.000,1,1.000,1:1000 
oracle,1000,0,1000,42189,43008,1.000,1,1.000,1:1000 
oracle,1000,0.5,1000,42289,43008,1.000,1,1.000,1:1000 
oracle,10000,0,1000,411648,411648,1.000,1,1.000,1:1000 
oracle,10000,0.5,1000,411691,411648,1.000,1,1.000,1:1000 
oracle,100000,0,1000,4069376,4069376,1.000,1,1.000,1:1000 
oracle,100000,0.5,1000,4069376,4069376,1.000,1,1.000,1:1000 
self_sizing,0,0,1000,2048,2048,1.000,1,1.000,1:1000 
self_sizing,0,0.5,1000,2048,2048,1.000,1,1.000,1:1000 
self_sizing,10,0,1000,2052,2048,1.002,2,1.002,1:998 2:2 
self_sizing,10,0.5,1000,2050,2048,1.001,2,1.001,1:999 2:1 
self_sizing,100,0,1000,8829,14336,2.146,3,2.146,2:854 3:146 
self_sizing,100,0.5,1000,8839,14336,2.158,3,2.158,2:842 3:158 
self_sizing,1000,0,1000,62943,118784,2.208,3,2.208,2:792 3:208 
self_sizing,1000,0.5,1000,64778,118784,2.235,3,2.235,2:765 3:235 
self_sizing,10000,0,1000,638589,1150976,2.264,3,2.264,2:736 3:264 
self_sizing,10000,0.5,1000,610968,1138688,2.226,3,2.226,2:774 3:226 
self_sizing,100000,0,1000,6101522,11368448,2.227,3,2.227,2:773 3:227 
self_sizing,100000,0.5,1000,6089304,11227136,2.225,3,2.225,2:775 3:225 
self_sizing_joint,0,0,1000,2048,2048,1.000,1,1.000,1:1000 
self_sizing_joint,0,0.5,1000,2048,2048,1.000,1,1.000,1:1000 
self_sizing_joint,10,0,1000,2052,2048,1.002,2,1.002,1:998 2:2 
self_sizing_joint,10,0.5,1000,2050,2048,1.001,2,1.001,1:999 2:1 
self_sizing_joint,100,0,1000,7621,8192,2.000,2,2.000,2:1000 
self_sizing_joint,100,0.5,1000,7528,8192,2.000,2,2.000,2:1000 
self_sizing_joint,1000,0,1000,56447,81920,2.218,4,2.218,2:784 3:214 4:2 
self_sizing_joint,1000,0.5,1000,56553,81920,2.228,4,2.228,2:773 3:226 4:1 
self_sizing_joint,10000,0,1000,546451,770048,2.267,3,2.267,2:733 3:267 
self_sizing_joint,10000,0.5,1000,532118,761856,2.225,4,2.225,2:777 3:221 4:2 
self_sizing_joint,100000,0,1000,5293165,7577600,2.225,4,2.225,2:776 3:223 4:1 
self_sizing_joint,100000,0.5,1000,5307263,7503872,2.226,4,2.226,2:776 3:222 4:2 
strata_first,0,0,1000,40960,40960,1.000,1,1.000,1:1000 
strata_first,0,0.5,1000,40960,40960,1.000,1,1.000,1:1000 
strata_first,10,0,1000,40960,40960,1.000,1,1.000,1:1000 
strata_first,10,0.5,1000,40960,40960,1.000,1,1.000,1:1000 
strata_first,100,0,1000,41075,43008,1.053,3,1.053,1:948 2:51 3:1 
strata_first,100,0.5,1000,41099,43008,1.065,2,1.065,1:935 2:65 
strata_first,1000,0,1000,90503,145408,2.139,3,2.139,2:861 3:139 
strata_first,1000,0.5,1000,91228,145408,2.147,3,2.147,2:853 3:147 
strata_first,10000,0,1000,577909,1159168,2.129,3,2.129,2:871 3:129 
strata_first,10000,0.5,1000,587002,1165312,2.142,3,2.142,2:858 3:142 
strata_first,100000,0,1000,5478103,11456512,2.140,5,2.140,2:862 3:137 5:1 
strata_first,100000,0.5,1000,5304607,11315200,2.111,3,2.111,2:889 3:111 
